task_id,rectangle,task_name
14,2387,20.09.25 nh01-1 HUMAN_DH_0922_DH-A DH_A1040-1045_T24
15,1175,20.09.25 nh02-1 HUMAN_DH_0922 _DH_A DH_A1049-1054_T24
17,1880,20.09.25 nh04-1 HUMAN_DH_0922 _DH_A DH_A1100-1105_T24
18,3577,20.09.25 nh05-1 HUMAN_DH_0922 _DH_A DH_A1110-1115_T24
19,2807,20.09.25 dw01-1 HUMAN_DH_0922 _DH_A DH_A1116-1121_T24
23,2015,20.09.25 nh03-1 HUMAN_DH_0922 _DH_A DH_A1054-1059_T24
28,2619,20.09.25 dw02-1 HUMAN_DH_0922 _DH_A DH_A1124-1129_T24
29,1454,20.09.25 us01-1 HUMAN_DH_0922 _DH_A DH_A1129-1134_T24
30,2200,20.09.25 us02-1 HUMAN_DH_0922 _DH_A DH_A1135-1140_T24
35,2452,20.09.25 nh01-2 HUMAN_DH_0922 _DH_A DH_A1140-1145_T24
36,2597,20.09.25 nh02-2 HUMAN_DH_0922 _DH_A DH_A1158-P1203_T24
37,2523,20.09.25 nh03-2 HUMAN_DH_0922 _DH_B DH_A1042-1047_T24
38,2795,20.09.25 nh04-2 HUMAN_DH_0922 _DH_B DH_A1047-1052_T24
39,2116,20.09.25 nh05-2 HUMAN_DH_0922 _DH_B DH_A1053-1058_T24
40,3471,20.09.25 dw01-2 HUMAN_DH_0922 _DH_B DH_A1059-1104_T24
41,2968,20.09.25 dw02-2 HUMAN_DH_0922 _DH_B DH_A1116-1121_T24
42,1210,20.09.25 us01-2 HUMAN_DH_0922 _DH_B DH_A1123-1128_T24
43,1874,20.09.25 us02-2 HUMAN_DH_0922 _DH_B DH_A1129-1134_T24
49,1713,20.09.28 dw01-1 HUMAN_DH_0922 _DH_B DH_A1137-1143_T24
50,2424,20.09.28 nh02-1 HUMAN_DH_0922 _DH_B DH_A1142-1147_T24
52,2472,20.09.28 nh04-1 LYING_NH_0928 _CMR-A NH_A1049-1054_T28
53,2814,20.09.28 nh03-1 LYING_NH_0928 _CMR-A NH_A1054-1059_T28
55,2117,20.09.28 nh05-1 LYING_NH_0928 _CMR-A NH_A1121-1126_T28
56,988,20.09.28 dw02-1 LYING_NH_0928 _CMR-A NH_A1128-1133_T28
57,949,20.09.28 us02-1 LYING_NH_0928 _CMR-A NH_A1133-1138_T28
58,2213,20.09.28 nh01-1 LYING_NH_0928 _CMR-A NH_A1147-1152_T28
59,3427,20.09.28 dw02-2 HUMAN_NH_0928 _CMR-A NH_P1209-1204_T28
60,2578,20.09.28 us01-1 LYING_NH_0928 _CMR-A NH_P1227-1232_T28
61,2079,20.09.28 us02-2 LYING_NH_0928 _CMR-A NH_A1052-1057_T28
62,1769,20.09.28 dw01-2 LYING_NH_0928 _CMR-B NH_A1120-1125_T28
63,2242,20.09.28 nh04-2 LYING_NH_0928 _CMR-B NH_A1129-1134_T28
64,2040,20.09.28 nh01-2 LYING_NH_0928 _CMR-B  NH_A1148-1153_T28
65,2091,20.09.28 nh05-2 LYING_NH_0928 _CMR-B  NH_P1212-1217_T28
66,2084,20.09.28 nh03-2 LYING_NH_0928 _CMR-B  NH_P1227-1132_T28
67,6975,20.09.28 nh02-2 CAR_ROAD_0925 _CMR-A Younje_P0638-0643_T20
68,3113,20.09.29 nh01-1 CAR_ROAD_0925 _CMR-A Younje_P0645-0650_T20
69,3915,20.09.29 nh02-1 CAR_ROAD_0925 _CMR-A Younje_P0651-0656_T20
70,2920,20.09.29 nh03-1 CAR_ROAD_0925 _CMR-A Younje_P0704-0709_T20
71,3165,20.09.29 nh04-1 CAR_ROAD_0925 _CMR-A Younje_P0719-0726_T20
72,2090,20.09.29 nh05-1 CAR_ROAD_0925 _CMR-A Younje_P0728-0733_T20
73,1402,20.09.29 dw01-1 CAR_ROAD_0925 _CMR-A Younje_P0738-0743_T20
74,2019,20.09.29 dw02-1 CAR_ROAD_0925 _CMR-A Younje_P0744-0749_T20
75,1498,20.10.05 nh01-1 CAR_ROAD_0925 _CMR-A Younje_P0804-0809_T20
76,1800,20.10.05 nh02-1 CAR_ROAD_0925 _CMR-B Younje_P0638-0743_T20
77,1958,20.10.05 nh03-1 CAR_ROAD_0925 _CMR-B Younje_P0650-0655_T20
78,2056,20.10.05 nh04-1 CAR_ROAD_0925 _CMR-B Younje_P0703-0708_T20
79,2234,20.10.05 nh05-1 CAR_ROAD_0925 _CMR-B Younje_P0716-0721_T20
80,1280,20.10.05 dw01-1 CAR_ROAD_0925 _CMR-B Younje_P0722-0727_T20
81,3713,20.10.05 dw02-1 CAR_ROAD_0925 _CMR-B Younje_P0730-0735_T20
83,2113,20.10.05 nh01-2 CAR_ROAD_0925 _CMR-B Younje_P0744-0749_T20
84,772,20.10.05 nh02-2 CAR_ROAD_0925 _CMR-B Younje_P0750-0755_T20
85,1750,20.10.05 nh03-2 CAR_ROAD_0925 _CMR-B Younje_P0807-0812_T20
86,2558,20.10.05 nh04-2 HUMAN_SDG_0929 _BUILDING Building_A0948-0953_T24
87,2671,20.10.05 nh05-2 HUMAN_SDG_0929 _BUILDING Building_A1006-1011_T24
88,1854,20.10.05 dw01-2  HUMAN_SDG_0929 _BUILDING Building_A1148-1153_T24
89,891,20.10.05 dw02-2 LYING_SDG_0929 _BUILDING Building_A1046-1051_T24
90,1566,20.10.05 nh01-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A0950-0955_T24
91,1035,20.10.05 nh02-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1008-1013_T24
92,1943,20.10.05 nh03-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1015-1020_T24
93,1268,20.10.05 nh04-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1023-1028_T24
94,1374,20.10.05 nh05-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1035-1040_T24
95,1646,20.10.05 dw01-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1049-1054_T24
96,2250,20.10.05 dw02-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1113-1118_T24
97,119,20.10.12 nh05-3 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1127-1132_T24
98,1491,20.10.05 nh01-4 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1133-1138_T24
99,829,20.10.05 nh02-4 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1139-1144_T24
100,1763,20.10.05 nh03-4 STRUCTURE_SDG_0929 _BUILDING Cheomdan_A1146-1151_T24
101,2094,20.10.05 nh04-4 FACE_SDG_0928 _BUILDING Building_P0412-0417_T24
103,2049,20.10.05 dw01-4 FACE_SDG_0928 _BUILDING Building_P0440-0445_T24
104,690,20.10.05 nh05-4 FACE_SDG_0928 _BUILDING Building_P0425-0430_T24
105,1513,20.10.05 dw02-4 FACE_SDG_0928 _BUILDING Building_P0445-0450_T24
106,1128,20.10.06 nh01-1 FACE_SDG_0929 _BUILDING Building_A1021-1026_T24
107,2579,20.10.06 nh02-1 FACE_SDG_0929 _BUILDING Building_A1032-1037_T24
108,2046,20.10.06 nh03-1 FACE_SDG_0929 _BUILDING Building_A1116-1121_T24
109,1386,20.10.06 nh04-1 FACE_SDG_0929 _BUILDING Building_A1133-1138_T24
111,2037,20.10.06 dw01-1 FACE_SDG_1005_BUILDING_A Building_A1139-1144_T21
112,2270,20.10.06 dw02-1 FACE_SDG_1005_BUILDING_A Building_A1148-1153_T21
113,2062,20.10.06 nh05-1 FACE_SDG_1005_BUILDING_A Building_A1129-1134_T21
114,1807,20.10.06 nh01-2 FACE_SDG_1005_BUILDING_A Building_P0112-0117_T21
115,1047,20.10.06 nh02-2 FACE_SDG_1005_BUILDING_A Building_P0127-0133_T21
116,2044,20.10.06 nh03-2 FACE_SDG_1005_BUILDING_A Building_P0135-0140_T21
117,1550,20.10.06 nh04-2 FACE_SDG_1005_BUILDING_A Building_P0143-0148_T21
118,1018,20.10.06 nh05-2 FACE_SDG_1005_BUILDING_A Building_P0223-0228_T21
119,1201,20.10.06 dw01-2 FACE_SDG_1005_BUILDING_A Building_P0244-0249_T21
120,951,20.10.06 dw02-2 FACE_SDG_1005_BUILDING_A Building_P0250-0255_T21
121,900,20.10.07 nh01-1 FACE_SDG_1005_BUILDING_A Building_P0250-0255_T21
122,1152,20.10.07 nh02-1 FACE_SDG_1005_BUILDING_A Building_P0319-0324_T21
123,1313,20.10.07 nh03-1 FACE_SDG_1005_BUILDING_A Building_P0329-0334_T21
124,903,20.10.07 nh04-1 FACE_SDG_1005_BUILDING_B Building_A0250-0255_T21
125,2233,20.10.07 nh05-1 FACE_SDG_1005_BUILDING_B Building_A1118-1123_T21
126,2039,20.10.07 dw01-1 FACE_SDG_1005_BUILDING_B Building_A1128-1132_T21
127,1956,20.10.07 dw02-1 FACE_SDG_1005_BUILDING_B Building_A1139-1144_T21
128,1444,20.10.07 us01-1 FACE_SDG_1005_BUILDING_B Building_A1148-1153_T21
130,1067,20.10.07 nh01-1 FACE_SDG_1005_BUILDING_B Building_P0243-0248_T21
131,2724,20.10.07 nh02-2 FACE_SDG_1006_BUILDING_A Building_A1043-1048_T24
132,3178,20.10.07 nh03-2 FACE_SDG_1006_BUILDING_A Building_A1050_1055_T24
133,2828,20.10.07 nh04-2 FACE_SDG_1006_BUILDING_A Building_A1108-1113_T24
134,3413,20.10.07 nh05-2 FACE_SDG_1006_BUILDING_A Building_A1116-1121_T24
135,3038,20.10.07 dw01-2 FACE_SDG_1006_BUILDING_A Building_A1132-1137_T24
136,2189,20.10.07 dw02-2 FACE_SDG_1006_BUILDING_A Building_A1138-1143_T24
138,2855,20.10.07 us01-2 FACE_SDG_1006_BUILDING_A Building_A1146-1151_T24
140,598,20.10.08 nh02-1 HUMAN_SDG_0928_BUILDING Building_P0425-0430_T24
141,1526,20.10.08 nh03-1 HUMAN_SDG_0928_BUILDING Building_P0440-0445_T24
142,1020,20.10.08 nh04-1 HUMAN_SDG_0928_BUILDING Building_P0445-0450_T24
143,777,20.10.08 nh05-1 HUMAN_SDG_0929_BUILDING Building_A1021-1026_T24
144,1831,20.10.08 dw01-1 HUMAN_SDG_0929_BUILDING Building_A1032-1037_T24
146,1612,20.10.08 dw02-1 HUMAN_SDG_0928_BUILDING Building_P0412-0417_T24
147,1971,20.10.07 dw02-1 HUMAN_SDG_0929_BUILDING Building_A1116-1121_T24
148,1674,20.10.12 nh05-2 HUMAN_SDG_0929_BUILDING Building_A1133-1138_T24
149,2402,20.10.08 nh02-2 HUMAN_SDG_1005_BUILDING_A Building_A1129-1134_T21
150,2421,20.10.07 nh03-2 HUMAN_SDG_1005_BUILDING_A Building_A1139-1144_T21
151,2386,20.10.08 nh04-2 HUMAN_SDG_1005_BUILDING_A Building_A1148-1153_T21
152,2291,20.10.08 nh05-2 HUMAN_SDG_1005_BUILDING_A Building_P0112-0117_T21
153,2131,20.10.08 dw01-2 HUMAN_SDG_1005_BUILDING_A Building_P0127-0133_T21
154,2691,20.10.08 dw02-2 HUMAN_SDG_1005_BUILDING_A Building_P0135-0140_T21
155,1858,20.10.07 us01-2 HUMAN_SDG_1005_BUILDING_A Building_P0143-0148_T21
157,1415,20.10.08 nh02-3 HUMAN_SDG_1005_BUILDING_A Building_P0223-0228_T21
158,1103,20.10.07 nh03-3 HUMAN_SDG_1005_BUILDING_A Building_P0250-0255_T21
159,1837,20.10.08 nh04-3 HUMAN_SDG_1005_BUILDING_A Building_P0319-0324_T21
160,1705,20.10.08 nh05-3 HUMAN_SDG_1005_BUILDING_A Building_P0329-0334_T21
161,1082,20.10.08 dw01-3 HUMAN_SDG_1005_BUILDING_B Building_A0250-0255_T21
162,2113,20.10.08 dw02-3 HUMAN_SDG_1005_BUILDING_B Building_A1118-1123_T21
163,1832,20.10.08 us01-3 HUMAN_SDG_1005_BUILDING_B Building_A1128-1132_T21
164,1867,20.10.08 nh02-4 HUMAN_SDG_1005_BUILDING_B Building_A1139-1144_T21
165,1962,20.10.08 nh03-4 HUMAN_SDG_1005_BUILDING_B Building_A1148-1153_T21
166,1463,20.10.08 nh04-4 HUMAN_SDG_1005_BUILDING_B Building_P0243-0248_T21
167,1490,20.10.08 nh05-4 HUMAN_SDG_1005_BUILDING_B Building_P0243-0248_T21
168,2724,20.10.08 dw01-4 HUMAN_SDG_1006_BUILDING Building_A1043-1048_T24
169,2743,20.10.08 dw02-4 HUMAN_SDG_1006_BUILDING Building_A1050_1055_T24
170,2294,20.10.08 us01-4 HUMAN_SDG_1006_BUILDING Building_A1108-1113_T24
171,2822,20.10.12 nh04-1 HUMAN_SDG_1006_BUILDING Building_A1116-1121_T24
172,2610,20.10.12 nh02-1 HUMAN_SDG_1006_BUILDING Building_A1132-1137_T24
173,2095,20.10.12 nh03-1 HUMAN_SDG_1006_BUILDING Building_A1138-1143_T24
176,2534,20.10.12 nh05-1 HUMAN_SDG_1006_BUILDING Building_A1146-1151_T24
177,1520,20.10.12 dw02-1 CAR_CD_1005_ROAD Cheomdan_P0450-0455_T22
178,1567,20.10.12 dw01-1 CAR_CD_1005_ROAD Cheomdan_P0442-0447_T22
179,1315,20.10.12 us01-1 CAR_CD_1005_ROAD Cheomdan_P0456-0501_T22
180,1510,20.10.12 nh02-2 CAR_CD_1005_ROAD Cheomdan_P0502-0507_T22
181,2759,20.10.12 nh03-2 CAR_CD_1008_ROAD_A Cheomdan_P0136-0141_T24
182,1661,20.10.12 nh04-2 CAR_CD_1008_ROAD_A Cheomdan_P0142-0147_T24
183,2636,20.10.12 dw01-2 CAR_CD_1008_ROAD_A Cheomdan_P0151-0156_T24
184,3555,20.10.12 dw02-2 CAR_CD_1008_ROAD_A Cheomdan_P0158-0203_T24
185,1521,20.10.12 us01-2 CAR_CD_1008_ROAD_A Cheomdan_P0209-0214_T24
186,1284,20.10.12 nh02-3 CAR_CD_1008_ROAD_A Cheomdan_P0217-0222_T24
187,1299,20.10.12 nh03-3 CAR_CD_1008_ROAD_A Cheomdan_P0222-0227_T24
188,1141,20.10.12 nh04-3 CAR_CD_1008_ROAD_A Cheomdan_P0228-0232_T24
189,1584,20.10.12 dw01-3 CAR_CD_1008_ROAD_A Cheomdan_P0233-0238_T24
190,1842,20.10.12 dw02-3 CAR_CD_1008_ROAD_A Cheomdan_P0242-0247_T24
191,1924,20.10.12 us01-3 CAR_CD_1008_ROAD_A Cheomdan_P0250-0255_T24
192,1598,20.10.12 nh02-4 CAR_CD_1008_ROAD_A Cheomdan_P0257-0302_T24
193,1590,20.10.12 nh03-4 CAR_CD_1008_ROAD_A Cheomdan_P0303-0308_T24
194,2630,20.10.12 nh04-4 CAR_CD_1008_ROAD_A Cheomdan_P0317-0322_T24
195,2020,20.10.12 nh05-4 CAR_CD_1008_ROAD_A Cheomdan_P0323-0328_T24
196,2722,20.10.12 dw01-4 CAR_CD_1008_ROAD_A Cheomdan_P0448-0453_T24
198,1135,20.10.12 dw02-4 CAR_CD_1008_ROAD_A Cheomdan_P0454-0459_T24
199,2280,20.10.12 us01-4 CAR_CD_1008_ROAD_A Cheomdan_P0500-0505_T24
200,1621,20.10.12 nh02-5 CAR_CD_1008_ROAD_A Cheomdan_P0507-0512_T24
201,2839,20.10.12 nh03-5 CAR_CD_1008_ROAD_A Cheomdan_P0513-0518_T24
202,1693,20.10.12 nh04-5 CAR_CD_1008_ROAD_A Cheomdan_P0519-0524_T24
203,1233,20.10.12 nh05-5 CAR_CD_1008_ROAD_A Cheomdan_P0525-0530_T24
204,1935,20.10.12 dw01-5 CAR_CD_1008_ROAD_B Cheomdan_P0135-0140_T24
205,1891,20.10.12 dw02-5 CAR_CD_1008_ROAD_B Cheomdan_P0141-0146_T24
206,332,20.10.12 us01-5 CAR_CD_1008_ROAD_B Cheomdan_P0141-0146_T24
208,472,20.10.12 nh02-6 CAR_CD_1008_ROAD_B Cheomdan_P0151-0156_T24
209,1680,20.10.12 nh03-6 CAR_CD_1008_ROAD_B Cheomdan_P0158-0203_T24
210,1316,20.10.12 nh04-6 CAR_CD_1008_ROAD_B Cheomdan_P0204-0209_T24
211,1852,20.10.12 nh05-6 CAR_CD_1008_ROAD_B Cheomdan_P0216-0221_T24
